monitor_start=2026-06-05T03:48:16+09:00
pid=10964
columns=timestamp pid stat pcpu pmem rss_kb vsz_kb etime cmd
2026-06-05T03:48:16+09:00   10964 SN    5.3  0.1 21644  32696       00:00 ./agent-app-leak
2026-06-05T03:48:18+09:00   10964 SN    2.0  0.1 21644  32696       00:02 ./agent-app-leak
2026-06-05T03:48:20+09:00   10964 SN    1.2  0.1 21644  32696       00:04 ./agent-app-leak
2026-06-05T03:48:22+09:00   10964 SN    0.8  0.1 21644  32696       00:06 ./agent-app-leak
2026-06-05T03:48:24+09:00   10964 SNl   0.6  0.1 21708 180192       00:08 ./agent-app-leak
2026-06-05T03:48:26+09:00   10964 SNl   0.5  0.1 21708 180192       00:10 ./agent-app-leak
2026-06-05T03:48:28+09:00   10964 SNl   0.4  0.1 21708 180192       00:12 ./agent-app-leak
2026-06-05T03:48:30+09:00   10964 SNl   0.4  0.1 21708 180192       00:14 ./agent-app-leak
2026-06-05T03:48:32+09:00   10964 SNl   0.3  0.1 21708 180192       00:17 ./agent-app-leak
2026-06-05T03:48:34+09:00   10964 SNl   0.3  0.1 21708 180192       00:19 ./agent-app-leak
2026-06-05T03:48:36+09:00   10964 SNl   0.2  0.1 21708 180192       00:21 ./agent-app-leak
2026-06-05T03:48:38+09:00   10964 SNl   0.2  0.1 21708 180192       00:23 ./agent-app-leak
2026-06-05T03:48:40+09:00   10964 SNl   0.2  0.1 21708 180192       00:25 ./agent-app-leak
2026-06-05T03:48:42+09:00   10964 SNl   0.2  0.1 21708 180192       00:27 ./agent-app-leak
2026-06-05T03:48:44+09:00   10964 SNl   0.2  0.1 21708 180192       00:29 ./agent-app-leak
2026-06-05T03:48:46+09:00   10964 SNl   0.1  0.1 21708 180192       00:31 ./agent-app-leak
2026-06-05T03:48:48+09:00   10964 SNl   0.1  0.1 21708 180192       00:33 ./agent-app-leak
2026-06-05T03:48:50+09:00   10964 SNl   0.1  0.1 21708 180192       00:35 ./agent-app-leak
2026-06-05T03:48:52+09:00   10964 SNl   0.1  0.1 21708 180192       00:37 ./agent-app-leak
2026-06-05T03:48:54+09:00   10964 SNl   0.1  0.1 21708 180192       00:39 ./agent-app-leak
2026-06-05T03:48:56+09:00   10964 SNl   0.1  0.1 21708 180192       00:41 ./agent-app-leak
2026-06-05T03:48:58+09:00   10964 SNl   0.1  0.1 21708 180192       00:43 ./agent-app-leak
2026-06-05T03:49:00+09:00   10964 SNl   0.1  0.1 21708 180192       00:45 ./agent-app-leak
2026-06-05T03:49:02+09:00   10964 SNl   0.1  0.1 21708 180192       00:47 ./agent-app-leak
2026-06-05T03:49:04+09:00   10964 SNl   0.1  0.1 21708 180192       00:49 ./agent-app-leak
2026-06-05T03:49:06+09:00   10964 SNl   0.1  0.1 21708 180192       00:51 ./agent-app-leak
2026-06-05T03:49:08+09:00   10964 SNl   0.1  0.1 21708 180192       00:53 ./agent-app-leak
2026-06-05T03:49:10+09:00   10964 SNl   0.1  0.1 21708 180192       00:55 ./agent-app-leak
2026-06-05T03:49:12+09:00 process_missing pid=10964
